situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,codIBGEmunicipio,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,emailContatoRegular,emailContatoFretamento,tipoOutorgaRodoviario,tipoOutorgaSemiurbano,tipoOutorgaFretamento,dataAutorizacaoRodoviario,dataVigenciaRodoviario,dataAutorizacaoSemiurbano,dataVigenciaSemiurbano,dataAutorizacaoFretamento,dataVigenciaFretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,3868110000168,2000 TURISMO LTDA,"RUA ABÍLIO DE OLIVEIRA MAIA, 64/66",CHÁCARA POÇOS DE CALDAS,315180,POÇOS DE CALDAS,MG,37701000,35-3722-2505,13,não,não,sim,31.2589,,doismil.turismo@outcenter.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41375,42105,0,0,23,0,0,0,11,0,0,0,0,11,0,0,35,0,0,900,0,0,0,0,0,0,42080
ativa,nacional,7966462000107,4 VENTOS VIAGENS LTDA.,"RUA MAJOR ACYLINO DE CASTRO, 294",VILA YOLANDA,410830,FOZ DO IGUAÇU,PR,85853260,45-9980-2888,17,não,não,sim,41.6907,,4ventosviagens@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41431,42161,0,0,30,0,0,12,7,0,0,0,0,7,0,0,32,0,0,947,0,0,9,0,0,256,42080
ativa,nacional,17530211000139,A A DE RESENDE- TRANSPORTES E TURISMO,"PRAÇA CORONEL SOUSA MAIA, 54-B",CENTRO,315420,RESENDE COSTA,MG,36340000,32-33541055,9,não,não,sim,31.8,,resendeturismo@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41562,42292,0,0,19,0,0,0,4,0,0,0,0,4,0,0,20,0,0,958,0,0,0,0,0,0,42080
ativa,nacional,5121029000145,A E TRANSPORTE E TURISMO LTDA,"RUA MIGUEL ABDALA, 164 A",CENTRO,241400,TANGARA,RN,59240000,84-3292-2469,10,não,não,sim,24.2097,,hilttonrocha@bol.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41675,42405,0,0,34,0,0,0,5,0,0,0,0,5,0,0,33,0,0,1648,0,0,0,0,0,0,42080
ativa,nacional,19971942000145,A M R DE ALMEIDA TURISMO EIRELI ME,"RUA PADRE REDENTORIS, Nº 19; QUADRA 103; LOTE 03",VILA AURORA OESTE,520870,GOIANIA,GO,74425178,62-32971859,5,não,não,sim,52.8612,,sergio_rocha312@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41962,42693,0,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,198,0,0,0,0,0,0,42080
ativa,nacional,8348422000164,A. ALVES TRANSPORTE E TURISMO,"RUA JOSÉ VENINO PEIXOTO, 19, FUNDOS.",CENTRO,410780,FLORAI,PR,87185000,44-3242-1991,29,não,não,sim,41.7038,,transgugatur@yahoo.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41431,42161,0,0,220,0,0,2,5,0,0,0,0,5,0,0,236,0,0,11703,0,0,2,0,0,54,42080
ativa,nacional,8581023000149,A. ANTUNES DE FRANCA - TRANSPORTES- ME,"RUA 23, Nº 750 - S",JARDIM RIO PRETO,510795,TANGARA DA SERRA,MT,78300000,65-99293289,0,não,não,sim,51.8617,,contato@tgatur.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41962,42693,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42080
ativa,nacional,73500696000199,A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME,"RUA CARLOS FRANKE, 295 SALA 01",HAMMARSTRON,431020,IJUI,RS,98700000,55-3332-1505,15,não,não,sim,43.3677,,atendimento@brisasdosul.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41962,42693,0,0,61,0,0,22,9,0,0,0,0,9,0,0,58,0,0,2018,0,0,21,0,0,665,42080
ativa,nacional,8860991000194,A. CANDIDO & CIA LTDA (EXPRESSO NACIONAL DE LUXO),RUA TRANQUILINO COELHO DE LEMOS Nº 201,,250400,CAMPINA GRANDE,PB,58100000,(83) 341-2102,28,sim,não,não,na     ,nacional2001@terra.com.br,,AUTORIZAÇÃO,na,na,24078,42704,NULL,NULL,NULL,NULL,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42080
ativa,nacional,11777005000141,A. DA SILVA RODRIGUES ME,RUA SÃO JOÃO N° 26,FELIPE CAMARÃO,240810,NATAL,RN,59072410,84-9163-7828,38,não,não,sim,24.7229,,prismartour@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,41634,42364,0,0,181,0,0,0,8,0,0,0,0,8,0,0,161,0,0,6842,0,0,0,0,0,0,42080
