situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,00.018.127/0001-38,TOCANTINS TRANSPORTE E TURISMO LTDA,"Q 612 SUL, ALAMEDA 4, LT 01-A - PLANO DIRETOR SUL",,PALMAS,TO,77022100,,50,sim,não,sim,170011,3,0,62,0,0,0,9,0,0,9,0,10,7,0,34,0,0,1427,0,0,0,0,0,0,43007
ativa,nacional,00.026.572/0001-40,RECPAZ TRANSPORTES E TURISMO LTDA,"AVENIDA RUY RODRIGUES, S/N",SANTA LUCIA,CAMPINAS,SP,13060600,19-3223-8426,20,não,não,sim,351519,0,0,25,0,0,0,13,0,0,0,0,13,0,0,16,0,0,640,0,0,0,0,0,0,43007
ativa,nacional,00.029.190/0001-70,ADIMARI VIAGENS E TURISMO LTDA,AV ROSALVO ADERALDO 339,ESTÁDIO,FERNANDOPOLIS,SP,15600000,17-3442-5588--3462-7490,28,não,não,sim,354354,0,0,76,0,0,1,8,0,0,0,0,8,0,0,50,0,0,1857,0,0,1,0,0,53,43007
ativa,nacional,00.033.613/0001-25,SANTA IZABEL-TRANSPORTES E TURISMO LTDA,"AV.GOVERNADOR VALADARES, 1817 - CENTRO",,UNAI,MG,38610000,38-3677-2211,46,sim,sim,sim,311993,6,1,269,0,0,0,21,0,0,19,0,16,117662,32154,165,0,0,6508,0,0,0,0,0,0,43007
ativa,nacional,00.058.517/0001-31,MACHADO TUR LTDA-ME,"RUA URUTAU N° 424,  APT 21 BLOCO A2",VILA CASCATA,ARAPONGAS,PR,86701450,43-3055-4214,3,não,não,sim,419557,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.068.575/0001-46,COMERCIO E TRANSPORTES CAPINZAL LTDA - ME,"RUA ANTONIO FERREIRA DO PRADO,100",SÃO CRISTOVÃO,CAPINZAL,SC,89665000,49-3555-2082,11,não,não,sim,423870,0,0,107,0,0,68,7,0,0,0,0,7,0,0,67,0,0,1645,0,0,46,0,0,1030,43007
ativa,nacional,00.077.971/0001-30,MATHEUS TRANSPORTES E SERVIÇOS LTDA,"AV. VASCO DA GAMA, Nº 250",ENGENHO VELHO DE BROTAS,SALVADOR,BA,40240090,71-3382-3333,34,não,não,sim,295980,0,0,153,0,0,0,6,0,0,0,0,6,0,0,96,0,0,3092,0,0,0,0,0,0,43007
ativa,nacional,00.082.084/0001-50,I. J. TURISMO LTDA - ME,"RUA CARLOS GOMES, 3701",CENTRO,CASCAVEL,PR,85801090,45-3224-8345,8,não,não,sim,413537,0,0,24,0,0,7,4,0,0,0,0,4,0,0,15,0,0,234,0,0,2,0,0,44,43007
ativa,nacional,00.084.211/0001-50,TRANSPORTADORA TUR. BITTENCOURT E FANTINATI LTDA -ME,RUA NITEROI N&#65533; 1394,CENTRO,ASSAI,PR,86220000,43-3262-3484,10,não,não,sim,416800,0,0,3,0,0,0,2,1,0,0,0,3,0,0,1,0,0,27,0,0,0,0,0,0,43007
ativa,nacional,00.091.382/0001-06,OPÇÃO JCA TURISMO E FRETAMENTO LTDA,"RODOVIA AMARAL PEIXOTO, 2401",BALDEADOR,NITEROI,RJ,24140005,21-3136-1001,202,não,não,sim,337440,0,0,265,0,0,0,30,0,0,0,0,30,0,0,151,0,0,5996,0,0,0,0,0,0,43007
ativa,nacional,00.113.625/0001-60,TWOTUR AGÊNCIA DE VIAGENS E TURISMO LTDA,RUA TIRADENTES 262,DIDO,SANTO ANGELO,RS,98803410,55-33133430,4,não,não,sim,437990,0,0,9,0,0,10,3,0,0,0,0,3,0,0,7,0,0,118,0,0,7,0,0,255,43007
ativa,nacional,00.116.440/0001-09,CASTELL - TUR AGENCIA DE VIAGENS E TURISMO LTDA - ME,RUA MOISES LUPION Nº 286,CONJUNTO RESIDENCIAL APORÃ,FOZ DO IGUAÇU,PR,85869210,45-35242454,27,não,não,sim,418430,0,0,49,0,0,36,5,2,0,0,0,7,0,0,39,0,0,829,0,0,16,0,0,317,43007
ativa,nacional,00.118.709/0001-96,RIONETUR TRANSPORTES LTDA - ME,"RUA NACLE GIBRAN , 470",BOM JESUS,RIO NEGRO,PR,83880000,47-3645-5057,51,não,não,sim,412790,0,0,319,0,0,33,8,1,0,0,0,9,0,0,188,0,0,5425,0,0,28,0,0,620,43007
ativa,nacional,00.128.801/0001-37,VIAÇÃO PARANAIBA LTDA.,Rua Emanuel Xavier Rabelo - nº 123 - Planalto,,ITUMBIARA,GO,75536060,(64) 3404-1203,3,não,sim,não,na     ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.133.161/0001-53,BORTOLINI E ZIBETTI LTDA - ME,AVELINA PAES ANAIAS N°268,CENTRO,COSTA RICA,MS,79550000,67-32473215,2,não,não,sim,509101,0,0,9,0,0,0,1,0,0,0,0,1,0,0,5,0,0,210,0,0,0,0,0,0,43007
ativa,nacional,00.144.751/0001-81,ESSENCIA TURISMO EIRELI,"RUA ADILIO RAMOS, 2357, LOJA 03",ALTO,CURITIBA,PR,82820100,41-3367-0331--9989-3392,14,não,não,sim,413828,0,0,4,0,0,0,1,0,0,0,0,1,0,0,3,0,0,134,0,0,0,0,0,0,43007
ativa,nacional,00.153.472/0001-84,GIAN CARLO TUR EXCURSÕES E TURISMO LTDA,"RUA SANTA CATARINA, 852, SALA 02 .",PARQUE ESPIRITO SANTO,CACHOEIRINHA,RS,94955400,51-3469-6041--81395324,30,não,não,sim,433844,0,0,139,0,0,22,4,0,0,0,0,4,0,0,89,0,0,2722,0,0,11,0,0,445,43007
ativa,nacional,00.163.074/0001-49,SUPREMA VANS TRANSPORTE EXECUTIVO LTDA - ME,AVENIDA PREFEITO ROQUE VERNALHA,JARDIM ELDORADO,PARANAGUA,PR,82206360,41-34230352,6,não,não,sim,418962,0,0,85,0,0,0,1,2,0,0,0,3,0,0,50,0,0,848,0,0,0,0,0,0,43007
ativa,nacional,00.164.699/0001-25,VIALUZ - VIACAO LUZIANIA LTDA,"ALAMEDA ODILON SANTOS, Nº 200 - SETOR INDUSTRIAL AEROPORTO",,ANAPOLIS,GO,75104320,(62) 3314-1870,0,não,sim,não,na     ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.166.248/0001-27,EXPRESSO ANGELITUR TRANSPORTES LTDA,"RUA CAPITAO SALOMAO, 466",CAMPOS ELISEOS,RIBEIRAO PRETO,SP,14085440,16-3941-3346--9142-9212,24,não,não,sim,352967,0,0,43,0,0,0,7,0,0,0,0,7,0,0,30,0,0,1093,0,0,0,0,0,0,43007
ativa,nacional,00.174.295/0001-12,PARANHAMA AGENCIA DE VIAGENS LTDA,"RUA FERNANDO FERRARI, 415",CENTRO,TRES COROAS,RS,95660000,051-3546-3888,10,não,não,sim,434812,0,0,55,0,0,3,1,0,0,0,0,1,0,0,36,0,0,510,0,0,3,0,0,77,43007
ativa,nacional,00.185.069/0001-37,ESATUR TURISMO LTDA,"RUA PRINCESA ISABEL, 52, SALA 01",CONDE D`EU,ORLEANS,SC,88870000,48-3466-3151,20,não,não,sim,420548,0,0,63,0,0,9,2,0,0,0,0,2,0,0,42,0,0,1589,0,0,2,0,0,77,43007
ativa,nacional,00.192.988/0001-38,REGINA MARTINS BARBOSA FARIA-ME,RUA PEDRO  FAVERO 367,GABIROBA,ALTO ARAGUAIA,MT,78780000,66-34812275,25,não,não,sim,517072,0,0,82,0,0,0,5,0,0,0,0,5,0,0,51,0,0,1615,0,0,0,0,0,0,43007
ativa,nacional,00.198.166/0001-64,JOSÉ MARCIEL NEIS & CIA LTDA - ME,"RUA JUDITE MELO DOS SANTOS, 175",DISTRITO INDUSTRIAL,SAO JOSÉ,SC,88104765,48-3247-7104,21,não,não,sim,420792,0,0,148,0,0,0,11,0,0,0,0,11,0,0,81,0,0,2682,0,0,0,0,0,0,43007
ativa,nacional,00.198.419/0001-08,NERECYTUR TURISMO EIRELI,"RUA: JANUARIO ALVES GARCIA, 2238",REVOREDO,TUBARAO,SC,88704700,48-3622-0753,11,não,não,sim,421508,0,0,75,0,0,0,2,0,0,0,0,2,0,0,53,0,0,1074,0,0,0,0,0,0,43007
ativa,nacional,00.201.479/0001-24,TURISMO RODOCIDE LTDA - EPP,"RUA LUIZ ABRY, 1400, SOBRELOJA",CENTRO,POMERODE,SC,89107000,47-3387-0411,18,não,não,sim,421262,0,0,100,0,0,2,3,1,0,0,0,4,0,0,64,0,0,2062,0,0,2,0,0,59,43007
ativa,nacional,00.224.288/0001-88,GIOVANI GONÇALVES CHAVES SERVIÇOS LTDA,"RUA ALBERTO GONÇALVES, 10 - A",VIÚVA,BARAO DE COCAIS,MG,35970000,31-3837-2906,12,não,não,sim,316949,0,0,21,0,0,0,2,0,0,0,0,2,0,0,17,0,0,817,0,0,0,0,0,0,43007
ativa,nacional,00.229.686/0001-97,VANATUR TURISMO - EIRELI,"AV. LÍBERO DE ALMEIDA SILVARES, 3535",COESTER,FERNANDOPOLIS,SP,15600000,17-3442-2030,14,não,não,sim,351440,0,0,45,0,0,0,8,0,0,0,0,8,0,0,25,0,0,1220,0,0,0,0,0,0,43007
ativa,nacional,00.247.455/0001-06,FERREIRA E CRUZ LTDA - ME,"RUA ADA MACAGI, Nº 1447",BAIRRO ALTO,CURITIBA,PR,82820170,41-3367-3400,7,não,não,sim,419328,0,0,51,0,0,0,3,0,0,0,0,3,0,0,29,0,0,907,0,0,0,0,0,0,43007
ativa,nacional,00.252.663/0001-01,TRANSGIRO TURISMO E VIAGENS LTDA,"AVENIDA RIO GRANDE DO SUL, 3255",PARQUE INDUSTRIAL Nº 2,MARECHAL CANDIDO RONDON,PR,85960000,45-3254-1527,56,não,não,sim,413323,0,0,831,0,0,28,15,0,0,0,0,15,0,0,525,0,0,14190,0,0,17,0,0,513,43007
ativa,nacional,00.264.321/0001-01,C. J. ZAMBONI & IRMÃO LTDA,"VILA CORONEL TEIXEIRA, SN,",DISTRITO,MARCELINO RAMOS,RS,99800000,54-3372-1236,5,não,não,sim,431412,0,0,8,0,0,0,3,0,0,0,0,3,0,0,4,0,0,101,0,0,0,0,0,0,43007
ativa,nacional,00.271.033/0001-76,TRANSPORTES MENETUR LTDA - ME,AVENIDA BRASIL 1878 SALA 01,CENTRO,SERTAO,RS,99170000,51-9436 0303,13,não,não,sim,432595,0,0,27,0,0,7,1,0,0,0,0,1,0,0,16,0,0,600,0,0,5,0,0,204,43007
ativa,nacional,00.272.996/0001-94,MANOS TRANSPORTES E TURISMO LTDA,"RUA MONLEVADE, 1650",DANIEL FONSECA,UBERLANDIA,MG,38400320,34-3236-4145,0,não,não,sim,314916,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.274.187/0001-11,TRANS-GREBOS TURISMO LTDA,"RUA GUADALAJARA, 697",CENTRO,ARAUCARIA,PR,83702110,41-3642-3220,4,não,não,sim,410975,0,0,6,0,0,0,1,0,0,0,0,1,0,0,2,0,0,80,0,0,0,0,0,0,43007
ativa,nacional,00.279.722/0001-27,SOUZA TURISMO E VIAGENS LTDA - EPP,"RUA MUQUI, 80",JARDIM SANTA ROSA,GUARAPARI,ES,29217320,27-3262-5837,26,não,não,sim,321852,0,0,41,0,0,0,7,0,0,0,0,7,0,0,25,0,0,1102,0,0,0,0,0,0,43007
ativa,nacional,00.280.306/0001-49,WAINE CARLOS MASSIGNAN TRANSPORTES EIRELI,"RODOVIA SP 101-KM 22,5,S/N",MONTE MOR,MONTE MOR,SP,13190000,19-3879-4371,3,não,não,sim,351596,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.282.582/0001-46,JJ TUR TRANSPORTES TURISMO EIRELI,AV. PARANAPANEMA QUADRA 27 LOTE 06 - JARDIM AMÉRICA,,ANAPOLIS,GO,,,22,sim,não,sim,528846,2,0,13,0,0,0,12,0,0,11,0,11,0,0,9,131,0,393,0,0,0,0,0,0,43007
ativa,nacional,00.285.160/0001-24,TRANSPORN TRANSPORTES LTDA - ME,"RUA 03, Nº 468",NATUREZA,ITA,SC,89760000,49-3458-1869,16,não,não,sim,423839,0,0,111,0,0,1,5,0,0,0,0,5,0,0,48,0,0,1257,0,0,0,0,0,0,43007
ativa,nacional,00.288.250/0001-79,NAVITUR VIAGENS E TURISMO LTDA,"RUA LEOPOLDO GOMES ,2023",ALTO VERA CRUZ,BELO HORIZONTE,MG,30285310,31-34580050,4,não,não,sim,312419,0,0,18,0,0,0,1,0,0,0,0,1,0,0,14,0,0,401,0,0,0,0,0,0,43007
ativa,nacional,00.312.146/0001-72,STADLER VIAGENS E TURISMO LTDA,"RUA DO PROGRESSO, 210",CENTRO,AJURICABA,RS,98750000,55-3387-1380,2,não,não,sim,431984,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.312.150/0001-30,VIAÇÃO PERBONI LTDA - ME,"RUA TAQUAREIRA, Nº 126",INTEGRAÇÃO,PAROBÉ,RS,95630000,51-3543-3548,8,não,não,sim,431737,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.318.401/0001-94,CASTEL-TUR TURISMO LTDA - EPP,"RUA ACRE, 536",IPIRANGA,RIBEIRAO PRETO,SP,14055660,16-3235.3235,7,não,não,sim,350252,0,0,59,0,0,0,6,0,0,0,0,6,0,0,34,0,0,1150,0,0,0,0,0,0,43007
ativa,nacional,00.320.527/0003-65,TRANSPORTE ACESSIVEL UNICARGA LTDA - ME,"RUA AGOSTINHO CORREIA,125",VILA ZAT,SAO PAULO,SP,2968090,11-1139911409,2,não,não,sim,358872,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.330.618/0001-10,SKALA BRASIL CARGAS E TURISMO LTDA ME,"RUA CRAVINA, 935 LOJA A",CONDOMÍNIO DAS PALMEIRAS,IBIRITÉ,MG,32430888,31-3598-7818--9163-1740,50,não,não,sim,315843,0,0,52,0,0,0,4,0,0,0,0,4,0,0,34,0,0,1551,0,0,0,0,0,0,43007
ativa,nacional,00.330.916/0001-00,TRANSPLANALTO TRANSPORTE E LOCAÇÃO DE VEÍCULOS LTDA - ME,"RUA RICARDO MACEDO, 48",PARQUE SAO MIGUEL/GRAJAU,SAO PAULO,SP,4855020,11-5929-0009,1,não,não,sim,354708,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,00.334.083/0001-55,HÉLIO E CARLOS TRANSPORTADORA LTDA,"AV DR. CHAFIC FACURY, Nº3561",ESPLANADA PRIMO MENEGUETTI,FRANCA,SP,14403680,16-3702-4949,25,não,não,sim,351516,0,0,120,0,0,0,9,0,0,0,0,9,0,0,69,0,0,2664,0,0,0,0,0,0,43007
ativa,nacional,00.339.239/0001-90,UNIVERSAL TRANSPORTES EXECUTIVOS LTDA,"RUA SIMÃO CEMBRANI, 139",NOSSA SENHORA DE LOURDES,CAXIAS DO SUL,RS,95072390,54-3212-1361,13,não,não,sim,435572,0,0,20,0,0,12,0,0,0,0,0,0,0,0,11,0,0,262,0,0,5,0,0,196,43007
ativa,nacional,00.339.276/0001-07,MHT TRANSPORTE E TURISMO LTDA,"RUA ABRÃO WINTER, 90",XAXIM,CURITIBA,PR,81830280,41-3379-1267,75,não,não,sim,413915,0,0,272,0,0,39,6,0,0,0,0,6,0,0,158,0,0,7061,0,0,12,0,0,379,43007
ativa,nacional,00.355.707/0001-10,MERKATO TRANSPORTES DE PASSAGEIROS E TURISMO LTDA ME.,AV.DARCIO CANTIERI 2333,JARDIM AMERICA,SAO SEBASTIAO DO PARAISO,MG,37950000,35-3558-5642,11,não,não,sim,310501,0,0,20,0,0,0,2,0,0,0,0,2,0,0,6,0,0,245,0,0,0,0,0,0,43007
ativa,nacional,00.355.810/0001-60,AGÊNCIA DE VIAGENS E TURISMO FOSCARINI LTDA,"RUA 14 DE JULHO, 234",CENTRO,SANANDUVA,RS,99840000,54-3343-2545,7,não,não,sim,432480,0,0,20,0,0,0,5,0,0,0,0,5,0,0,11,0,0,339,0,0,0,0,0,0,43007
